,Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
1331,Milkbasket,Unknown,Haryana,Food & Beverages,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",Unknown,Unknown,7000000.0,Series A,2018
1332,Nutrisattva (Proliva),Unknown,Anand,LifeStyle,Nutrisattva is a protein innovation compan,Unknown,Unknown,1300000.0,Angel Round,2018
1333,Toppr,Unknown,Mumbai,Business Intelligence,Toppr.com is an online preparation platform for entrance exams in India.,Unknown,Unknown,35000000.0,Series C,2018
1334,Jagaran Microfin,Unknown,Kolkata,—,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,Unknown,Unknown,7971014.492753623,Debt,2018
1335,Vivriti Capital,Unknown,Chennai,Finance,Vivriti Capital is an online platform for institutional debt in India.,Unknown,Unknown,28500000.0,Unknown,2018
1336,Be U Salons,Unknown,New Delhi,Beauty & Fashion,Be U is India's first subscription based Salon Chain.,Unknown,Unknown,434782.60869565216,Pre-series A,2018
1337,Impact Guru,Unknown,Mumbai,Finance,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",Unknown,Unknown,2000000.0,Series A,2018
1338,MobiKwik,Unknown,Gurgaon,Finance,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,Unknown,Unknown,3478260.8695652173,Series E,2018
1339,Stones2Milestones,Unknown,Gurgaon,Education,Stones2milestones is a Gurgaon Based Learning Company.,Unknown,Unknown,1300000.0,Pre-series A,2018
1340,Generico,Unknown,Mumbai,Health,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,Unknown,Unknown,1300000.0,Series A,2018
1341,Adiuvo Diagnostics,Unknown,Chennai,Health,Adiuvo Diagnostics is a medical diagnostic device company based in India.,Unknown,Unknown,1300000.0,Pre-series A,2018
1342,DataTrained,Unknown,Bangalore,Education,"DataTrained is a educational platform, which operates an ed-tech startup on data science",Unknown,Unknown,1739130.4347826086,Pre-series A,2018
1343,OneAssist,Unknown,Mumbai,Finance,OneAssist is a protection & assistance services platform.,Unknown,Unknown,2400000.0,Debt,2018
1344,Satin Creditcare Network Limited (SCNL),Unknown,New Delhi,Finance,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,Unknown,Unknown,30000000.0,Debt,2018
1345,APAC Financial Services,Unknown,Mumbai,Finance,APAC Financial Services is a financial services platform.,Unknown,Unknown,36231884.057971016,Equity,2018
1346,Moglix,Unknown,Noida,Commerce,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",Unknown,Unknown,23000000.0,Series C,2018
1347,SEDEMAC Mechatronics,Unknown,Mumbai,Transport,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,Unknown,Unknown,1300000.0,Unknown,2018
1348,MadGuy Labs,Unknown,Hyderabad,Education,MadGuy Labs is a Online Test-prep Platform.,Unknown,Unknown,150000.0,Unknown,2018
1349,Dee Dee Labs,Unknown,Pune,Commerce,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,Unknown,Unknown,1300000.0,Pre-series A,2018
1350,FLEECA,Unknown,Jaipur,—,FLEECA is a Tyre Care Provider company.,Unknown,Unknown,1300000.0,Pre-series A,2018
1351,Shop101,Unknown,Mumbai,Commerce,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,Unknown,Unknown,11000000.0,Series B,2018
1352,FeedMyPockets,Unknown,Bangalore,Business Intelligence,On Demand Staffing Platform,Unknown,Unknown,637681.1594202899,Pre-series A,2018
1353,Housejoy,Unknown,Bangalore,Beauty & Fashion,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,Unknown,Unknown,3240000.0,Series B,2018
1354,Ambee,Unknown,Bangalore,Health,Ambee is an Environment analytics startup.,Unknown,Unknown,1300000.0,Angel Round,2018
1355,FoodBuddy,Unknown,Belgaum,Food & Beverages,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",Unknown,Unknown,869565.2173913043,Pre-series A,2018
1356,Ninjacart,Unknown,Bangalore,Business Intelligence,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,Unknown,Unknown,36231884.057971016,Series B,2018
1357,Olly Smart Credit Card,Unknown,New Delhi,Finance,Olly is a digital credit card for India's working masses and young people.,Unknown,Unknown,1300000.0,Pre-series A,2018
1358,Zestl,Unknown,Pune,Technology,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",Unknown,Unknown,1300000.0,Pre-series A,2018
1359,BYJU’S,Unknown,Bangalore,Education,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,Unknown,Unknown,540000000.0,Equity,2018
1360,Wakefit,Unknown,Bangalore,Commerce,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,Unknown,Unknown,9420289.855072465,Unknown,2018
1361,Hero Electric,Unknown,New Delhi,Manufacturing,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",Unknown,Unknown,23188405.79710145,Unknown,2018
1362,Pentation Analytics,Unknown,Mumbai,Business Intelligence,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,Unknown,Unknown,1300000.0,Pre-series A,2018
1363,PerkFinance,Unknown,Bangalore,Finance,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,Unknown,Unknown,900000.0,Pre-series A,2018
1364,Roposo,Unknown,Gurgaon,Business Intelligence,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,Unknown,Unknown,10000000.0,Series C,2018
